project_name,category,budget_forecast,latest_budget_changes,total_budget_changes
2014-05,Wastewater Treatment,182980960,-1915400,-9736936
2015-02,Wastewater Treatment,168751769,-14229191,-9736936
2014-01,Wastewater Treatment,113176229,-52501721,-35664433
2014-01,Parks,147488088,-3858150,18216708
2018-03,Schools,99997237,-309044,-7411755
2016-01,Streets and Roadways,38518670,,106000
2016-06,Streets and Roadways,38592670,74000,106000
2016-11,Streets and Roadways,38617670,25000,106000
2017-04,Streets and Roadways,38642670,25000,106000
2017-09,Streets and Roadways,38624670,-18000,106000
2018-03,Streets and Roadways,38624670,0,106000
2016-01,Streets and Roadways,29411000,,-18498107
2016-06,Streets and Roadways,29411000,0,-18498107
2016-11,Streets and Roadways,10134893,-19276107,-18498107
2014-05,Parks,155888088,8400000,18216708
2017-04,Streets and Roadways,10375893,241000,-18498107
2017-09,Streets and Roadways,10016563,-359330,-18498107
2018-03,Streets and Roadways,10912893,896330,-18498107
2016-11,Streets and Roadways,109356670,11843670,602670
2017-04,Streets and Roadways,98740670,-10616000,602670
2017-09,Streets and Roadways,98115670,-625000,602670
2018-03,Streets and Roadways,98115670,0,602670
2017-09,Streets and Roadways,54138000,147000,147000
2018-03,Streets and Roadways,54138000,0,147000
2018-03,Bridges,47279974,79087,79087
2015-02,Parks,170586053,14697965,18216708
2017-09,"Bridges, Streets and Roadways",58756062,300,86300
2018-03,"Bridges, Streets and Roadways",58842062,86000,86300
2017-09,"Bridges, Streets and Roadways",56521020,-274000,-275000
2018-03,"Bridges, Streets and Roadways",56520020,-1000,-275000
2016-11,Other Government Facilities,33026000,0,73142823
2017-04,Other Government Facilities,101269000,68243000,73142823
2017-09,Other Government Facilities,108799823,7530823,73142823
2018-03,Other Government Facilities,106168823,-2631000,73142823
2016-11,Other Government Facilities,80499000,0,167332621
2017-04,Other Government Facilities,126411000,45912000,167332621
2015-08,Parks,175098274,4512221,18216708
2017-09,Other Government Facilities,233584544,107173544,167332621
2018-03,Other Government Facilities,247831621,14247077,167332621
2017-04,Other Government Facilities,47040232,3730232,14193747
2017-09,Other Government Facilities,39623232,-7417000,14193747
2018-03,Other Government Facilities,57503747,17880515,14193747
2016-06,Other Government Facilities,29341000,,6558000
2016-11,Other Government Facilities,29341000,0,6558000
2017-04,Other Government Facilities,24698000,-4643000,6558000
2017-09,Other Government Facilities,34403887,9705887,6558000
2018-03,Other Government Facilities,35899000,1495113,6558000
2016-01,Parks,171240124,-3858150,18216708
2016-06,Water Supply,43347000,,1097000
2016-11,Water Supply,43902000,555000,1097000
2017-04,Water Supply,44444000,542000,1097000
2017-09,Water Supply,44444000,0,1097000
2018-03,Water Supply,44444000,0,1097000
2016-06,Industrial Development,53324000,,892000
2016-11,Industrial Development,55495000,2171000,892000
2017-04,Industrial Development,54216000,-1279000,892000
2017-09,Industrial Development,54216000,0,892000
2018-03,Industrial Development,54216000,0,892000
2016-06,Parks,171240124,0,18216708
2016-06,Industrial Development,38153000,,1274000
2016-11,Industrial Development,39427000,1274000,1274000
2017-04,Industrial Development,39427000,0,1274000
2017-09,Industrial Development,39427000,0,1274000
2018-03,Industrial Development,39427000,0,1274000
2016-06,Sewers,34696000,,885000
2016-11,Sewers,34892804,196804,885000
2017-04,Sewers,35880000,987196,885000
2017-09,Sewers,35581000,-299000,885000
2018-03,Sewers,35581000,0,885000
2016-11,Parks,169038757,-2201367,18216708
2016-11,Streets and Roadways,30359852,484348,9264496
2017-04,Streets and Roadways,37375000,7015148,9264496
2017-09,Streets and Roadways,39140000,1765000,9264496
2018-03,Streets and Roadways,39140000,0,9264496
2016-06,Streets and Roadways,31679000,,-856000
2016-11,Streets and Roadways,30718000,-961000,-856000
2017-04,Streets and Roadways,30718000,0,-856000
2017-09,Streets and Roadways,30823000,105000,-856000
2018-03,Streets and Roadways,30823000,0,-856000
2016-06,Water Supply,43762000,,1250000
2017-04,Parks,168098859,-939898,18216708
2016-11,Water Supply,45016000,1254000,1250000
2017-04,Water Supply,45013000,-3000,1250000
2017-09,Water Supply,45012000,-1000,1250000
2018-03,Water Supply,45012000,0,1250000
